Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,21/06/2024 00:00,Mercedes-Benz Stadium,Argentina,CONCACAF 5,Group A,
2,1,21/06/2024 03:00,MetLife Stadium,Brazil,Chile,Group B,
3,1,22/06/2024 00:00,Levi's Stadium,Uruguay,Peru,Group C,
4,1,22/06/2024 03:00,NRG Stadium,Colombia,Paraguay,Group D,
5,1,23/06/2024 00:00,State Farm Stadium,Ecuador,Bolivia,Group E,
6,1,23/06/2024 03:00,Rose Bowl,Argentina,Brazil,Group A,
7,2,24/06/2024 00:00,Mercedes-Benz Stadium,Chile,Uruguay,Group B,
8,2,24/06/2024 03:00,MetLife Stadium,Peru,Colombia,Group C,
9,2,25/06/2024 00:00,Levi's Stadium,Paraguay,Ecuador,Group D,
10,2,25/06/2024 03:00,NRG Stadium,Bolivia,Argentina,Group E,
11,2,26/06/2024 00:00,State Farm Stadium,Brazil,CONCACAF 5,Group A,
12,2,26/06/2024 03:00,Rose Bowl,Chile,Peru,Group B,
13,3,27/06/2024 00:00,Mercedes-Benz Stadium,Uruguay,Colombia,Group C,
14,3,27/06/2024 03:00,MetLife Stadium,Paraguay,Bolivia,Group D,
15,3,28/06/2024 00:00,Levi's Stadium,Ecuador,CONCACAF 5,Group E,
16,3,28/06/2024 03:00,NRG Stadium,Argentina,Chile,Group A,
17,3,29/06/2024 00:00,State Farm Stadium,Brazil,Uruguay,Group B,
18,3,29/06/2024 03:00,Rose Bowl,Peru,Paraguay,Group C,
19,4,30/06/2024 00:00,Mercedes-Benz Stadium,Colombia,Ecuador,Group D,
20,4,30/06/2024 03:00,MetLife Stadium,Bolivia,CONCACAF 5,Group E,
21,4,01/07/2024 00:00,Levi's Stadium,Argentina,Peru,Group A,
22,4,01/07/2024 03:00,NRG Stadium,Brazil,Paraguay,Group B,
23,4,02/07/2024 00:00,State Farm Stadium,Chile,Colombia,Group C,
24,4,02/07/2024 03:00,Rose Bowl,Uruguay,Bolivia,Group D,
25,4,03/07/2024 00:00,Mercedes-Benz Stadium,Ecuador,Argentina,Group E,
26,4,03/07/2024 03:00,MetLife Stadium,CONCACAF 5,Chile,Group A,
27,5,04/07/2024 00:00,Levi's Stadium,Peru,Brazil,Group B,
28,5,04/07/2024 03:00,NRG Stadium,Paraguay,Uruguay,Group C,
29,5,05/07/2024 00:00,State Farm Stadium,Colombia,CONCACAF 5,Group D,
30,5,05/07/2024 03:00,Rose Bowl,Bolivia,Ecuador,Group E,
31,5,06/07/2024 00:00,Mercedes-Benz Stadium,Argentina,Paraguay,Group A,
32,5,06/07/2024 03:00,MetLife Stadium,Brazil,Colombia,Group B,
